index,Тема,Описание,Тип оборудования,Точка отказа,Серийный номер
0,Не работает блок питания,"В течении недели перестал внезапно работать блок питания на ноутбуке  Сила НК2-1404 v2 SN:  C223100360
",Ноутбук,Блок питания,C223100360
1,Не включается SILA LLC HK2-3404.,"Добрый день!_x000D_
Подскажите пожалуйста что может, имею ПК SILA LLC HK2-3404 №C223094534._x000D_
Села батарейка при работе в автономном режиме, поставил на зарядку нажал на запуск запустился а потом выключился и больше не включается._x000D_
И не понятно идёт заряд или нет, что можно сделать?_x000D_
",Ноутбук,Материнская плата,C223094534
2,Сервер СР2-5422 // Системные ошибки // D251110041,"Добрый вечер! На сервере появились системные ошибки. Скрин и логи прилагаю._x000D_
Предварительно на 03.09.24 (совместно с работами по замене серверов) инженерам необходимо по возможности устранить проблему или согласовать новую платформу.",Сервер,Материнская плата,D251110041
3,Повреждение матрицы,"Прошу произвести диагностику и сориентировать по условиям ремонта данного ноутбука. 
",Ноутбук,Матрица,C223014328
4,sila HK2-1404 c223014125 asset 7101087,"Добрый день!
Прошу взять ноутбук sila HK2-1404 c223014125 asset 7101087 в гарантийный ремонт
Не включается, нет индикации заряда.
",Ноутбук,Материнская плата,C223014125
5,Не работает блок питания,"Не работает блок питания на ноутбуке sn C223010123
",Ноутбук,Блок питания,C223010123
6,НК2-3404 // Мерцание экрана // C223091001,"У нас же третий из 50 ноутбуков СИЛА проявляет слабость с экраном, вероятно, дело в шлейфе. _x000D_
Грустно то, что все 3 этих ноутбука не использовались «в полях» а стояли в офисе, их почти не открывали – закрывали. _x000D_
Известная проблема? _x000D_
_x000D_
Мерцает экран, пока есть 2 серийника, 1 ноутбук в пути:_x000D_
C223091001_x000D_
C223091126_x000D_
_x000D_
Возможен ли ремонт не в Москве\Области? У нас есть офис в Самаре и в Санкт-Петербурге.",Ноутбук,Матрица,C223091001
7,Ноутбук НК2-1404 // Вентилятор трется о сетку // C223012430,"Добрый день._x000D_
Спустя 30 минут работы вентилятор трется о сетку_x000D_
Прошу помочь в решении данной проблемы_x000D_
Спасибо",Ноутбук,Вентилятор,C223012430
8,Неисправность сервера СИЛА // 46920,"Модель: сервер CP2 – 5422_x000D_
S/N : D252030021 _x000D_
 Расположение: КВ7 _x000D_
 Описание: Неисправность системы охлаждения сервера _x000D_
 bios 8.3 BMC 1262_2 _x000D_
 Дополнительная информация во вложении. _x000D_
 ",Сервер,Сервер,D252030021
9,Звук и микрофон не активны на ноутбуке Сила ruc223012961.,перестали работать Звук и микрофон не активны на ноутбуке Сила ruc223012961.,Ноутбук,Материнская плата,c223012961
